Metric,RDWT-Haralick-SVM (for thermal) without block-wise,RDWT-Haralick-SVM (for thermal) with block-wise,Haralick-SVM (for thermal),RDWT-Haralick-SVM (for GrayScale of RGB) without block-wise,RDWT-Haralick-SVM (for GrayScale of RGB) with block-wise,Haralick-SVM (for GrayScale of RGB),HeuristicFeatures-SVM (for Thermal),HeuristicFeatures-SVM (for GrayScale of RGB),LBP-SVM (for Thermal),LBP-SVM (for GrayScale of RGB)
Accuracy,0.9738562091503268,1.0,0.9738562091503268,0.9934640522875817,1.0,0.8562091503267973,0.9803921568627451,0.6470588235294118,1.0,0.9934640522875817
Precision,0.9272727272727272,1.0,0.9607843137254902,0.9811320754716981,1.0,0.7884615384615384,0.9615384615384616,0.4857142857142857,1.0,1.0
Recall,1.0,1.0,0.9607843137254902,1.0,1.0,0.7884615384615384,0.9803921568627451,0.6538461538461539,1.0,0.9807692307692307
F1,0.9622641509433962,1.0,0.9607843137254902,0.9904761904761905,1.0,0.7884615384615384,0.970873786407767,0.5573770491803278,1.0,0.9902912621359222
ROC-AUC,0.9803921568627452,1.0,0.9705882352941176,0.995049504950495,1.0,0.8397753236862147,0.9803921568627451,0.6487052551408987,1.0,0.9903846153846154
HTER,0.0196078431372549,0.0,0.029411764705882353,0.0049504950495049506,0.0,0.16022467631378523,0.0196078431372549,0.3512947448591013,0.0,0.009615384615384616
